Signal Legend:

Key        Signal Name

0        = GUI:GUI_Inst|CH1_Offset[0..8]
1        = GUI:GUI_Inst|Update_Signal_CLK
2        = GUI:GUI_Inst|Updating_Signal_Counter[0..19]
3        = GUI:GUI_Inst|CH1_Result[0..11]

Data Table:

Signals-> 0   1 2      3   

sample

-1024     201 1 886313 236 
-1023     201 1 886313 237 
-1022     201 1 886313 237 
-1021     201 1 886313 237 
-1020     201 1 886313 238 
-1019     201 1 886313 238 
-1018     201 1 886313 239 
-1017     201 1 886313 239 
-1016     201 1 886313 239 
-1015     201 1 886313 240 
-1014     201 1 886313 240 
-1013     201 1 886313 240 
-1012     201 1 886313 241 
-1011     201 1 886313 241 
-1010     201 1 886313 242 
-1009     201 1 886313 242 
-1008     201 1 886313 242 
-1007     201 1 886313 243 
-1006     201 1 886313 243 
-1005     201 1 886313 243 
-1004     201 1 886313 244 
-1003     201 1 886313 244 
-1002     201 1 886313 245 
-1001     201 1 886313 245 
-1000     201 1 886313 245 
-999      201 1 886313 246 
-998      201 1 886313 246 
-997      201 1 886313 246 
-996      201 1 886313 247 
-995      201 1 886313 247 
-994      201 1 886313 247 
-993      201 1 886313 248 
-992      201 1 886313 248 
-991      201 1 886313 248 
-990      201 1 886313 249 
-989      201 1 886313 249 
-988      201 1 886313 249 
-987      201 1 886313 250 
-986      201 1 886313 250 
-985      201 1 886313 250 
-984      201 1 886313 251 
-983      201 1 886313 251 
-982      201 1 886313 251 
-981      201 1 886313 252 
-980      201 1 886313 252 
-979      201 1 886313 252 
-978      201 1 886313 253 
-977      201 1 886313 253 
-976      201 1 886313 253 
-975      201 1 886313 253 
-974      201 1 886313 254 
-973      201 1 886313 254 
-972      201 1 886313 264 
-971      201 1 886313 264 
-970      201 1 886313 264 
-969      201 1 886313 264 
-968      201 1 886313 264 
-967      201 1 886313 264 
-966      201 1 886313 264 
-965      201 1 886313 264 
-964      201 1 886313 264 
-963      201 1 886313 264 
-962      201 1 886313 264 
-961      201 1 886313 264 
-960      201 1 886313 264 
-959      201 1 886313 264 
-958      201 1 886313 264 
-957      201 1 886313 264 
-956      201 1 886313 264 
-955      201 1 886313 264 
-954      201 1 886313 264 
-953      201 1 886313 264 
-952      201 1 886313 264 
-951      201 1 886313 264 
-950      201 1 886313 264 
-949      201 1 886313 264 
-948      201 1 886313 264 
-947      201 1 886313 264 
-946      201 1 886313 264 
-945      201 1 886313 264 
-944      201 1 886313 264 
-943      201 1 886313 264 
-942      201 1 886313 264 
-941      201 1 886313 264 
-940      201 1 886313 264 
-939      201 1 886313 264 
-938      201 1 886313 264 
-937      201 1 886313 264 
-936      201 1 886313 264 
-935      201 1 886313 264 
-934      201 1 886313 264 
-933      201 1 886313 264 
-932      201 1 886313 264 
-931      201 1 886313 264 
-930      201 1 886313 264 
-929      201 1 886313 264 
-928      201 1 886313 264 
-927      201 1 886313 264 
-926      201 1 886313 264 
-925      201 1 886313 264 
-924      201 1 886313 264 
-923      201 1 886313 264 
-922      201 1 886313 264 
-921      201 1 886313 264 
-920      201 1 886313 264 
-919      201 1 886313 264 
-918      201 1 886313 264 
-917      201 1 886313 264 
-916      201 1 886313 264 
-915      201 1 886313 264 
-914      201 1 886313 264 
-913      201 1 886313 264 
-912      201 1 886313 264 
-911      201 1 886313 264 
-910      201 1 886313 264 
-909      201 1 886313 264 
-908      201 1 886313 264 
-907      201 1 886313 264 
-906      201 1 886313 264 
-905      201 1 886313 264 
-904      201 1 886313 264 
-903      201 1 886313 264 
-902      201 1 886313 264 
-901      201 1 886313 264 
-900      201 1 886313 264 
-899      201 1 886313 264 
-898      201 1 886313 264 
-897      201 1 886313 264 
-896      201 1 886313 264 
-895      201 1 886313 264 
-894      201 1 886313 264 
-893      201 1 886313 264 
-892      201 1 886313 264 
-891      201 1 886313 264 
-890      201 1 886313 264 
-889      201 1 886313 264 
-888      201 1 886313 264 
-887      201 1 886313 264 
-886      201 1 886313 264 
-885      201 1 886313 264 
-884      201 1 886313 264 
-883      201 1 886313 264 
-882      201 1 886313 264 
-881      201 1 886313 264 
-880      201 1 886313 264 
-879      201 1 886313 264 
-878      201 1 886313 264 
-877      201 1 886313 264 
-876      201 1 886313 264 
-875      201 1 886313 264 
-874      201 1 886313 264 
-873      201 1 886313 264 
-872      201 1 886313 264 
-871      201 1 886313 264 
-870      201 1 886313 264 
-869      201 1 886313 264 
-868      201 1 886313 264 
-867      201 1 886313 264 
-866      201 1 886313 264 
-865      201 1 886313 264 
-864      201 1 886313 264 
-863      201 1 886313 264 
-862      201 1 886313 264 
-861      201 1 886313 264 
-860      201 1 886313 264 
-859      201 1 886313 264 
-858      201 1 886313 264 
-857      201 1 886313 264 
