Signal Legend:

Key        Signal Name

0        = Test:Test_Inst|TestCH1:TestCH1_inst|altsyncram:altsyncram_component|altsyncram_75f1:auto_generated|mux_eob:mux2|result_node[0..11]
1        = Test:Test_Inst|TestCH2:TestCH2_inst|altsyncram:altsyncram_component|altsyncram_jlf1:auto_generated|mux_eob:mux2|result_node[0..11]
2        = TimeScale_1
3        = TimeScale_2
4        = TimeScale_3
5        = TimeScale_4
6        = TimeScale_5
7        = GUI:GUI_Inst|Address_CH_read[0..13]

Data Table:

Signals-> 0    1     2 3 4 5 6 7    

sample

-2048     3850 -1403 1282 
-2047     3850 -1403 1282 
-2046     3850 -1403 1282 
-2045     3850 -1403 1282 
-2044     3850 -1403 1282 
-2043     3850 -1403 1282 
-2042     3850 -1403 1282 
-2041     3850 -1403 1282 
-2040     3850 -1403 1282 
-2039     3850 -1403 1282 
-2038     3850 -1403 1282 
-2037     3850 -1403 1282 
-2036     3850 -1403 1282 
-2035     3850 -1403 1282 
-2034     3850 -1403 1282 
-2033     3850 -1403 1282 
-2032     3850 -1403 1282 
-2031     3850 -1403 1282 
-2030     3850 -1403 1282 
-2029     3850 -1403 1282 
-2028     3849 -1403 1282 
-2027     3849 -1403 1282 
-2026     3849 -1403 1282 
-2025     3849 -1403 1282 
-2024     3849 -1403 1282 
-2023     3849 -1403 1282 
-2022     3849 -1403 1282 
-2021     3849 -1403 1282 
-2020     3849 -1403 1282 
-2019     3849 -1403 1282 
-2018     3849 -1403 1282 
-2017     3849 -1403 1282 
-2016     3849 -1403 1282 
-2015     3849 -1403 1282 
-2014     3849 -1403 1282 
-2013     3849 -1403 1282 
-2012     3849 -1403 1282 
-2011     3849 -1403 1282 
-2010     3849 -1403 1282 
-2009     3849 -1403 1282 
-2008     3849 -1403 1282 
-2007     3849 -1403 1282 
-2006     3849 -1403 1282 
-2005     3849 -1403 1282 
-2004     3849 -1403 1282 
-2003     3849 -1403 1282 
-2002     3849 -1403 1282 
-2001     3849 -1403 1282 
-2000     3849 -1403 1282 
-1999     3849 -1403 1282 
-1998     3849 -1403 1282 
-1997     3849 -1403 1282 
-1996     3849 -1403 1282 
-1995     3849 -1403 1282 
-1994     3849 -1402 1282 
-1993     3849 -1402 1282 
-1992     3849 -1402 1282 
-1991     3849 -1402 1282 
-1990     3849 -1402 1282 
-1989     3849 -1402 1282 
-1988     3849 -1402 1282 
-1987     3849 -1402 1282 
-1986     3849 -1402 1282 
-1985     3849 -1402 1282 
-1984     3849 -1402 1282 
-1983     3849 -1402 1282 
-1982     3849 -1402 1282 
-1981     3849 -1402 1282 
-1980     3849 -1402 1282 
-1979     3849 -1402 1282 
-1978     3849 -1402 1282 
-1977     3849 -1402 1282 
-1976     3849 -1402 1282 
-1975     3849 -1402 1282 
-1974     3849 -1402 1282 
-1973     3849 -1402 1282 
-1972     3849 -1402 1282 
-1971     3849 -1402 1282 
-1970     3849 -1402 1282 
-1969     3849 -1402 1282 
-1968     3849 -1402 1282 
-1967     3849 -1402 1282 
-1966     3849 -1402 1282 
-1965     3849 -1402 1282 
-1964     3849 -1402 1282 
-1963     3849 -1402 1282 
-1962     3849 -1402 1282 
-1961     3849 -1402 1282 
-1960     3849 -1402 1282 
-1959     3849 -1402 1282 
-1958     3849 -1402 1282 
-1957     3849 -1402 1282 
-1956     3849 -1402 1282 
-1955     3849 -1402 1282 
-1954     3849 -1402 1282 
-1953     3849 -1402 1282 
-1952     3849 -1402 1282 
-1951     3849 -1402 1282 
-1950     3849 -1402 1282 
-1949     3849 -1402 1282 
-1948     3849 -1402 1282 
-1947     3849 -1402 1282 
-1946     3849 -1402 1282 
-1945     3849 -1402 1282 
-1944     3849 -1402 1282 
-1943     3849 -1402 1282 
-1942     3849 -1402 1282 
-1941     3849 -1402 1282 
-1940     3849 -1402 1282 
-1939     3849 -1402 1282 
-1938     3849 -1402 1282 
-1937     3849 -1402 1282 
-1936     3849 -1402 1282 
-1935     3849 -1402 1282 
-1934     3849 -1402 1282 
-1933     3849 -1402 1282 
-1932     3849 -1402 1282 
-1931     3849 -1402 1282 
-1930     3849 -1402 1282 
-1929     3849 -1402 1282 
-1928     3849 -1402 1282 
-1927     3849 -1402 1282 
-1926     3848 -1401 1282 
-1925     3848 -1401 1282 
-1924     3848 -1401 1282 
-1923     3848 -1401 1538 
-1922     3848 -1401 1538 
-1921     3848 -1401 1538 
-1920     3848 -1401 1538 
-1919     3848 -1401 1538 
-1918     3848 -1401 1538 
-1917     3848 -1401 1538 
-1916     3848 -1401 1538 
-1915     3848 -1401 1538 
-1914     3848 -1401 1538 
-1913     3848 -1401 1538 
-1912     3848 -1401 1538 
-1911     3848 -1401 1538 
-1910     3848 -1401 1538 
-1909     3848 -1401 1538 
-1908     3848 -1401 1538 
-1907     3848 -1401 1538 
-1906     3848 -1401 1538 
-1905     3848 -1401 1538 
-1904     3848 -1401 1538 
-1903     3848 -1401 1538 
-1902     3848 -1401 1538 
-1901     3848 -1401 1538 
-1900     3848 -1401 1538 
-1899     3848 -1401 1538 
-1898     3848 -1401 1538 
-1897     3848 -1401 1538 
-1896     3848 -1401 1538 
-1895     3848 -1401 1538 
-1894     3848 -1401 1538 
-1893     3848 -1401 1538 
-1892     3848 -1400 1538 
-1891     3848 -1400 1538 
-1890     3848 -1400 1538 
-1889     3848 -1400 1538 
-1888     3848 -1400 1538 
-1887     3848 -1400 1538 
-1886     3848 -1400 1538 
-1885     3848 -1400 1538 
-1884     3848 -1400 1538 
-1883     3848 -1400 1538 
-1882     3848 -1400 1538 
-1881     3848 -1400 1538 
-1880     3848 -1400 1538 
-1879     3848 -1400 1538 
-1878     3848 -1400 1538 
-1877     3848 -1400 1538 
-1876     3848 -1400 1538 
-1875     3848 -1400 1538 
-1874     3848 -1400 1538 
-1873     3848 -1400 1538 
-1872     3848 -1400 1538 
-1871     3848 -1400 1538 
-1870     3848 -1400 1538 
-1869     3848 -1400 1538 
-1868     3848 -1400 1538 
-1867     3848 -1400 1538 
-1866     3848 -1400 1538 
-1865     3848 -1400 1538 
-1864     3848 -1400 1538 
-1863     3848 -1400 1538 
-1862     3848 -1400 1538 
-1861     3848 -1400 1538 
-1860     3848 -1400 1538 
-1859     3848 -1400 1538 
-1858     3847 -1400 1538 
-1857     3847 -1400 1538 
-1856     3847 -1400 1538 
-1855     3847 -1400 1538 
-1854     3847 -1400 1538 
-1853     3847 -1400 1538 
-1852     3847 -1400 1538 
-1851     3847 -1400 1538 
-1850     3847 -1400 1538 
-1849     3847 -1400 1538 
-1848     3847 -1400 1538 
-1847     3847 -1400 1538 
-1846     3847 -1400 1538 
-1845     3847 -1400 1538 
-1844     3847 -1400 1538 
-1843     3847 -1400 1538 
-1842     3847 -1400 1538 
-1841     3847 -1400 1538 
-1840     3847 -1400 1538 
-1839     3847 -1400 1538 
-1838     3847 -1400 1538 
-1837     3847 -1400 1538 
-1836     3847 -1400 1538 
-1835     3847 -1400 1538 
-1834     3847 -1400 1538 
-1833     3847 -1400 1538 
-1832     3847 -1400 1538 
-1831     3847 -1400 1538 
-1830     3847 -1400 1538 
-1829     3847 -1400 1538 
-1828     3847 -1400 1538 
-1827     3847 -1400 1538 
-1826     3847 -1400 1538 
-1825     3847 -1400 1538 
-1824     3847 -1399 1538 
-1823     3847 -1399 1538 
-1822     3847 -1399 1538 
-1821     3847 -1399 1538 
-1820     3847 -1399 1538 
-1819     3847 -1399 1538 
-1818     3847 -1399 1538 
-1817     3847 -1399 1538 
-1816     3847 -1399 1538 
-1815     3847 -1399 1538 
-1814     3847 -1399 1538 
-1813     3847 -1399 1538 
-1812     3847 -1399 1538 
-1811     3847 -1399 1538 
-1810     3847 -1399 1538 
-1809     3847 -1399 1538 
-1808     3847 -1399 1538 
-1807     3847 -1399 1538 
-1806     3847 -1399 1538 
-1805     3847 -1399 1538 
-1804     3847 -1399 1538 
-1803     3847 -1399 1538 
-1802     3847 -1399 1538 
-1801     3847 -1399 1538 
-1800     3847 -1399 1538 
-1799     3847 -1399 1538 
-1798     3847 -1399 1538 
-1797     3847 -1399 1538 
-1796     3847 -1399 1538 
-1795     3847 -1399 1538 
-1794     3847 -1399 1538 
-1793     3847 -1399 1538 
-1792     3847 -1399 1538 
-1791     3847 -1399 1538 
-1790     3847 -1399 1538 
-1789     3847 -1399 1538 
-1788     3847 -1399 1538 
-1787     3847 -1399 1538 
-1786     3847 -1399 1538 
-1785     3847 -1399 1538 
-1784     3847 -1399 1538 
-1783     3847 -1399 1538 
-1782     3847 -1399 1538 
-1781     3847 -1399 1538 
-1780     3847 -1399 1538 
-1779     3847 -1399 1538 
-1778     3847 -1399 1538 
-1777     3847 -1399 1538 
-1776     3847 -1399 1538 
-1775     3847 -1399 1538 
-1774     3847 -1399 1538 
-1773     3847 -1399 1538 
-1772     3847 -1399 1538 
-1771     3847 -1399 1538 
-1770     3847 -1399 1538 
-1769     3847 -1399 1538 
-1768     3847 -1399 1538 
-1767     3847 -1399 1538 
-1766     3847 -1399 1538 
-1765     3847 -1399 1538 
-1764     3847 -1399 1538 
-1763     3847 -1399 1538 
-1762     3847 -1399 1538 
-1761     3847 -1399 1538 
-1760     3847 -1399 1538 
-1759     3847 -1399 1538 
-1758     3847 -1399 1538 
-1757     3847 -1399 1538 
-1756     3846 -1398 1538 
-1755     3846 -1398 1538 
-1754     3846 -1398 1538 
-1753     3846 -1398 1538 
-1752     3846 -1398 1538 
-1751     3846 -1398 1538 
-1750     3846 -1398 1538 
-1749     3846 -1398 1538 
-1748     3846 -1398 1538 
-1747     3846 -1398 1538 
-1746     3846 -1398 1538 
-1745     3846 -1398 1538 
-1744     3846 -1398 1538 
-1743     3846 -1398 1538 
-1742     3846 -1398 1538 
-1741     3846 -1398 1538 
-1740     3846 -1398 1538 
-1739     3846 -1398 1538 
-1738     3846 -1398 1538 
-1737     3846 -1398 1538 
-1736     3846 -1398 1538 
-1735     3846 -1398 1538 
-1734     3846 -1398 1538 
-1733     3846 -1398 1538 
-1732     3846 -1398 1538 
-1731     3846 -1398 1538 
-1730     3846 -1398 1538 
-1729     3846 -1398 1538 
-1728     3846 -1398 1538 
-1727     3846 -1398 1538 
-1726     3846 -1398 1538 
-1725     3846 -1398 1538 
-1724     3846 -1398 1538 
-1723     3846 -1398 1538 
-1722     3846 -1398 1538 
-1721     3846 -1398 1538 
-1720     3846 -1398 1538 
-1719     3846 -1398 1538 
-1718     3846 -1398 1538 
-1717     3846 -1398 1538 
-1716     3846 -1398 1538 
-1715     3846 -1398 1538 
-1714     3846 -1398 1538 
-1713     3846 -1398 1538 
-1712     3846 -1398 1538 
-1711     3846 -1398 1538 
-1710     3846 -1398 1538 
-1709     3846 -1398 1538 
-1708     3846 -1398 1538 
-1707     3846 -1398 1538 
-1706     3846 -1398 1538 
-1705     3846 -1398 1538 
-1704     3846 -1398 1538 
-1703     3846 -1398 1538 
-1702     3846 -1398 1538 
-1701     3846 -1398 1538 
-1700     3846 -1398 1538 
-1699     3846 -1398 1538 
-1698     3846 -1398 1538 
-1697     3846 -1398 1538 
-1696     3846 -1398 1538 
-1695     3846 -1398 1538 
-1694     3846 -1398 1538 
-1693     3846 -1398 1538 
-1692     3846 -1398 1538 
-1691     3846 -1398 1538 
-1690     3846 -1398 1538 
-1689     3846 -1398 1538 
-1688     3845 -1397 1538 
-1687     3845 -1397 1538 
-1686     3845 -1397 1538 
-1685     3845 -1397 1538 
-1684     3845 -1397 1538 
-1683     3845 -1397 1538 
-1682     3845 -1397 1538 
-1681     3845 -1397 1538 
-1680     3845 -1397 1538 
-1679     3845 -1397 1538 
-1678     3845 -1397 1538 
-1677     3845 -1397 1538 
-1676     3845 -1397 1538 
-1675     3845 -1397 1538 
-1674     3845 -1397 1538 
-1673     3845 -1397 1538 
-1672     3845 -1397 1538 
-1671     3845 -1397 1538 
-1670     3845 -1397 1538 
-1669     3845 -1397 1538 
-1668     3845 -1397 1538 
-1667     3845 -1397 1538 
-1666     3845 -1397 1538 
-1665     3845 -1397 1538 
-1664     3845 -1397 1538 
-1663     3845 -1397 1538 
-1662     3845 -1397 1538 
-1661     3845 -1397 1538 
-1660     3845 -1397 1538 
-1659     3845 -1397 1538 
-1658     3845 -1397 1538 
-1657     3845 -1397 1538 
-1656     3845 -1397 1538 
-1655     3845 -1397 1538 
-1654     3845 -1397 1538 
-1653     3845 -1397 1538 
-1652     3845 -1397 1538 
-1651     3845 -1397 1538 
-1650     3845 -1397 1538 
-1649     3845 -1397 1538 
-1648     3845 -1397 1538 
-1647     3845 -1397 1538 
-1646     3845 -1397 1538 
-1645     3845 -1397 1538 
-1644     3845 -1397 1538 
-1643     3845 -1397 1538 
-1642     3845 -1397 1538 
-1641     3845 -1397 1538 
-1640     3845 -1397 1538 
-1639     3845 -1397 1538 
-1638     3845 -1397 1538 
-1637     3845 -1397 1538 
-1636     3845 -1397 1538 
-1635     3845 -1397 1538 
-1634     3845 -1397 1538 
-1633     3845 -1397 1538 
-1632     3845 -1397 1538 
